8464463|obj0911v3-goedel-pilot-analyze|COMPLETED|0:0|00:00:10
8464464|obj0911v3-kimina-pilot-analyze|COMPLETED|0:0|00:00:11
8464465|obj0911v3-deepseek-gate|COMPLETED|0:0|00:00:06
8464466|obj0911v3-goedel-gate|COMPLETED|0:0|00:00:07
8464467|obj0911v3-kimina-gate|COMPLETED|0:0|00:00:04
8464468|obj0911v3-deepseek-main-generate-0|RUNNING|0:0|01:02:36
8464469|obj0911v3-goedel-main-generate-0|RUNNING|0:0|01:02:36
8464470|obj0911v3-kimina-main-generate-0|RUNNING|0:0|01:02:36
8464471|obj0911v3-deepseek-main-generate-1|PENDING|0:0|00:00:00
8464472|obj0911v3-goedel-main-generate-1|PENDING|0:0|00:00:00
8464473|obj0911v3-kimina-main-generate-1|PENDING|0:0|00:00:00
8464474|obj0911v3-audit-pilot-report|COMPLETED|0:0|00:00:09
8464475|report.sbatch|COMPLETED|0:0|00:00:08
8464476|download.sbatch|COMPLETED|0:0|00:03:16
8464478|obj-readiness-check|FAILED|1:0|00:00:01
8464479|obj-readiness-check|FAILED|1:0|00:00:01
8464480|obj-readiness-check|FAILED|1:0|00:00:09
8464481|obj-readiness-check|FAILED|2:0|00:00:00
8464482|obj-readiness-check|COMPLETED|0:0|00:00:28
8464483|obj-readiness-check|COMPLETED|0:0|00:00:25
8464485|obj-expansion-full-check|COMPLETED|0:0|00:09:00
8464487|obj-exp11-pilot-deepseek-positional|COMPLETED|0:0|00:00:06
8464488|obj-exp11-pilot-deepseek-whitening|COMPLETED|0:0|00:00:09
8464489|obj-exp11-pilot-goedel-positional|COMPLETED|0:0|00:00:04
8464490|obj-exp11-pilot-goedel-whitening|COMPLETED|0:0|00:00:05
8464491|obj-exp11-p4-real-0-train|PENDING|0:0|00:00:00
8464492|obj-exp11-p4-null-0-train|PENDING|0:0|00:00:00
8464493|obj-exp11-pilot-kimina-positional|COMPLETED|0:0|00:00:06
8464494|obj-exp11-pilot-kimina-whitening|COMPLETED|0:0|00:00:08
8464495|obj-exp11-deduction-inputs|COMPLETED|0:0|00:00:07
8464496|obj-exp11-calibration-heavy_null-0|RUNNING|0:0|00:01:36
8464497|obj-exp11-calibration-position_null-0|RUNNING|0:0|00:01:06
8464498|obj-expansion-report|FAILED|1:0|00:00:01
8464499|obj-expansion-report|RUNNING|0:0|00:00:00
